Id,Company,Wins,Draws,Losses
1552513,432,17,7.4,1.1
1552513,16,25.75,11.5,1.08
1552513,82,29,10,1.1
1552513,158,17,9,1.11
1552513,173,16.81,8.96,1.13
1552513,474,18,7,1.11
1552513,110,18,9.5,1.11
1552513,60,22.97,10,1.1
1552513,90,22,7.8,1.12
1552513,281,21,9,1.1
1552513,18,23,7.2,1.09
1552513,81,29,11,1.07
1552513,88,29,10,1.1
1552513,4,27,10,1.13
1552513,70,26,11.75,1.12
1552513,370,15,6.75,1.06
1552513,422,17,9,1.11
1552513,115,34,9,1.1
1552513,255,17,9,1.11
1552513,545,16,9.6,1.09
1552513,659,16,9.6,1.09
1552513,104,19,9.4,1.12
1552513,80,17,9.5,1.06
1552513,649,17,7.5,1.14
1552513,450,16.5,8.7,1.11
1552513,177,19.56,10.96,1.12
1552513,499,16,9.6,1.09
1552513,71,18,9,1.12
1552513,976,19,11,1.11
1552513,97,17.76,10.29,1.09
1552514,370,3.5,3.6,1.7
1552514,281,4.2,4,1.75
1552514,97,4.28,3.77,1.75
1552514,90,3.2,3.4,2.16
1552514,115,4.33,3.8,1.8
1552514,173,4.37,3.82,1.76
1552514,659,3.85,3.85,1.78
1552514,976,4.3,3.9,1.81
1552514,649,3.25,3.5,2.09
1552514,82,4.2,3.7,1.8
1552514,177,4.35,3.91,1.83
1552514,18,3.65,3.65,1.81
1552514,60,4.1,3.95,1.8
1552514,422,3.9,3.75,1.83
1552514,80,3.65,3.71,1.78
1552514,104,3.45,3.75,2
1552514,1129,2.9,3.45,1.91
1552514,16,4.3,3.9,1.8
1552514,432,3,3.65,1.98
1552514,545,3.85,3.85,1.78
1552514,158,3.9,3.75,1.83
1552514,474,3.8,3.55,1.8
1552514,499,3.85,3.85,1.78
1552514,70,4.6,4.02,1.81
1552514,81,4.5,3.8,1.83
1552514,255,3.9,3.75,1.83
1552514,4,4.1,4,1.88
1552514,110,4.25,4,1.75
1552514,450,4.25,3.75,1.73
1552514,88,4.2,3.7,1.8
1552514,517,3.65,3.65,1.81
1552514,71,3.5,3.6,2
1552515,18,1.93,3.6,3.3
1552515,432,1.78,3.75,3.5
1552515,115,2,3.6,3.75
1552515,370,1.85,3.5,3.1
1552515,80,1.85,3.62,3.43
1552515,70,2.02,3.63,4.02
1552515,649,1.89,3.65,3.75
1552515,16,2,3.6,3.75
1552515,177,2.07,3.58,3.74
1552515,255,1.87,3.75,3.75
1552515,88,2.05,3.4,3.5
1552515,422,1.87,3.75,3.75
1552515,81,2.05,3.4,3.9
1552515,281,1.95,3.75,3.5
1552515,4,1.94,4.05,3.85
1552515,104,1.9,3.85,3.8
1552515,90,1.9,3.6,4.1
1552515,97,1.95,3.43,3.76
1552515,110,1.9,3.85,3.7
1552515,474,2.05,3.3,3.25
1552515,71,1.9,3.8,3.7
1552515,158,1.87,3.75,3.75
1552515,173,1.96,3.48,3.83
1552515,659,2,3.65,3.3
1552515,60,1.9,3.85,3.75
1552515,82,2,3.4,3.7
1552515,499,2,3.65,3.3
1552515,517,1.93,3.6,3.3
1552515,976,2.05,3.5,3.7
1552515,450,1.93,3.4,3.75
1552515,545,2,3.65,3.3
1552516,4,2.8,3.75,2.5
1552516,474,2.88,3.1,2.32
1552516,18,2.66,3.3,2.37
1552516,370,2.55,3.2,2.25
1552516,173,2.81,3.27,2.51
1552516,82,2.9,3.25,2.45
1552516,97,2.78,3.22,2.5
1552516,70,2.92,3.4,2.6
1552516,90,2.7,3.3,2.5
1552516,115,3,3.3,2.4
1552516,88,2.9,3.2,2.38
1552516,517,2.66,3.3,2.37
1552516,158,2.65,3.5,2.45
1552516,71,2.8,3.4,2.45
1552516,281,2.8,3.4,2.4
1552516,659,2.73,3.5,2.33
1552516,976,3,3.35,2.45
1552516,81,3,3.3,2.55
1552516,16,2.9,3.4,2.45
1552516,104,2.7,3.5,2.5
1552516,177,3.05,3.4,2.46
1552516,432,2.38,3.5,2.45
1552516,545,2.73,3.5,2.33
1552516,110,2.75,3.5,2.45
1552516,80,2.53,3.57,2.33
1552516,255,2.65,3.5,2.45
1552516,422,2.65,3.5,2.45
1552516,649,2.7,3.25,2.55
1552516,450,2.75,3.2,2.47
1552516,60,2.7,3.55,2.5
1552516,499,2.73,3.5,2.33
1552517,104,3.2,3.5,2.2
1552517,649,2.99,3.5,2.22
1552517,976,4,3.5,2
1552517,80,3.37,3.52,1.91
1552517,71,3.2,3.4,2.2
1552517,177,4.09,3.51,2.01
1552517,115,3.9,3.4,2
1552517,370,3.1,3.3,1.9
1552517,4,3.9,3.8,1.99
1552517,450,3.8,3.4,1.92
1552517,90,3.1,3.4,2.21
1552517,110,3.75,3.6,1.95
1552517,82,3.8,3.4,2
1552517,255,3.5,3.5,2
1552517,422,3.5,3.5,2
1552517,281,3.8,3.5,1.95
1552517,1129,2.46,3.35,2.2
1552517,173,3.87,3.45,1.95
1552517,659,3.55,3.55,1.95
1552517,18,3.2,3.6,1.97
1552517,499,3.55,3.55,1.95
1552517,81,4.1,3.4,2.05
1552517,517,3.2,3.6,1.97
1552517,545,3.55,3.55,1.95
1552517,60,3.59,3.65,2
1552517,70,4.05,3.6,2.01
1552517,16,3.95,3.55,1.95
1552517,97,3.8,3.4,1.95
1552517,158,3.5,3.5,2
1552517,432,2.28,3.5,2.58
1552517,88,3.75,3.3,1.95
1552517,474,3.3,3.35,2
1552518,82,1.12,8.5,26
1552518,545,1.12,7.7,17
1552518,976,1.13,9,24
1552518,4,1.19,8.2,17
1552518,158,1.2,6.5,12
1552518,649,1.31,5.1,8.9
1552518,18,1.18,5.2,15
1552518,281,1.12,8.5,17
1552518,104,1.3,5.6,9.9
1552518,90,1.29,5.2,12.1
1552518,474,1.13,6,20
1552518,422,1.2,6.5,12
1552518,110,1.28,5.5,11
1552518,370,1.15,5.75,9.5
1552518,1129,1.17,5.05,9.5
1552518,173,1.12,8.25,20.33
1552518,177,1.13,9.07,25.76
1552518,70,1.18,8.35,19.5
1552518,81,1.12,8.5,29
1552518,517,1.18,5.2,15
1552518,115,1.11,8.5,29
1552518,255,1.2,6.5,12
1552518,432,1.2,5.5,10
1552518,499,1.13,7.7,15.5
1552518,450,1.1,8.25,21
1552518,80,1.25,5.5,7.8
1552518,97,1.15,7.51,14.58
1552518,16,1.11,9.25,26
1552518,659,1.12,7.7,17
1552518,60,1.22,6.5,12.64
1552518,71,1.27,5.5,11
1552518,88,1.12,8.5,26
1552519,18,1.14,6.2,15
1552519,370,1.08,7.25,11.5
1552519,4,1.16,9.15,20
1552519,81,1.15,8.5,20
1552519,90,1.24,5.8,11
1552519,422,1.16,7.5,13
1552519,450,1.09,8.65,19.5
1552519,97,1.13,8.23,15.13
1552519,255,1.16,7.5,13
1552519,173,1.11,9.2,20.31
1552519,545,1.12,8.5,14.5
1552519,649,1.25,5.9,9.8
1552519,281,1.14,8,17
1552519,70,1.16,9.3,20.5
1552519,88,1.15,7.5,19
1552519,80,1.12,7.6,12
1552519,104,1.23,6.6,11
1552519,177,1.15,8.99,17.94
1552519,474,1.14,6.4,16
1552519,499,1.12,8.5,14.5
1552519,16,1.12,9.25,21
1552519,110,1.21,7,12
1552519,158,1.16,7.5,13
1552519,517,1.14,6.2,15
1552519,71,1.2,7,12
1552519,432,1.2,5.7,9.5
1552519,1129,1.14,5.55,9.75
1552519,60,1.16,7.75,16.25
1552519,115,1.12,8.5,21
1552519,659,1.12,8.5,14.5
1552519,82,1.15,8,19
1552519,976,1.14,9,18
1552520,60,1.4,4.95,7.34
1552520,432,1.34,4.55,6.75
1552520,90,1.42,4.5,8.1
1552520,104,1.4,4.85,7.6
1552520,82,1.44,4.25,7.5
1552520,499,1.39,4.7,6.7
1552520,976,1.42,4.6,8.25
1552520,81,1.45,4.4,8.5
1552520,177,1.43,4.62,8.33
1552520,545,1.39,4.7,6.7
1552520,88,1.44,4.25,7.5
1552520,158,1.4,4.75,7
1552520,173,1.49,4.2,6.7
1552520,4,1.4,5.25,8.55
1552520,422,1.4,4.75,7
1552520,18,1.39,4.6,6.1
1552520,97,1.49,4.17,6.38
1552520,370,1.3,4.75,5.75
1552520,255,1.4,4.75,7
1552520,450,1.47,4.1,6.5
1552520,80,1.35,4.65,6.7
1552520,474,1.44,4.2,5.8
1552520,281,1.44,4.33,7.5
1552520,517,1.39,4.6,6.1
1552520,649,1.42,4.5,7.1
1552520,115,1.4,4.75,8
1552520,70,1.52,4.45,7.15
1552520,71,1.37,4.5,9
1552520,110,1.38,4.75,8.5
1552520,659,1.39,4.7,6.7
1552520,16,1.43,4.55,7.75
1552521,545,1.6,3.95,4.95
1552521,517,1.62,3.7,4.7
1552521,60,1.75,3.7,4.74
1552521,97,1.54,4.01,5.82
1552521,370,1.65,3.3,4.25
1552521,976,1.53,4.2,6.5
1552521,71,1.85,3.45,4.3
1552521,450,1.51,4.05,5.9
1552521,1129,1.85,3.35,3.12
1552521,16,1.52,4.3,6.4
1552521,158,1.62,4,5
1552521,177,1.54,4.28,6.65
1552521,499,1.6,3.95,4.95
1552521,88,1.53,4,6
1552521,90,1.93,3.3,4.4
1552521,422,1.62,4,5
1552521,18,1.62,3.7,4.7
1552521,81,1.53,4.2,7
1552521,173,1.54,4.05,6.07
1552521,115,1.55,4,6.5
1552521,104,1.9,3.55,4.1
1552521,255,1.62,4,5
1552521,4,1.65,4.3,5.5
1552521,110,1.75,3.75,4.5
1552521,70,1.58,4.28,6.45
1552521,432,1.92,3.5,3.25
1552521,474,1.55,3.8,5.2
1552521,80,1.71,3.72,3.95
1552521,82,1.53,4,6
1552521,281,1.5,4.2,6.5
1552521,649,1.93,3.35,3.95
1552521,659,1.6,3.95,4.95
1552522,88,1.95,3.6,3.5
1552522,499,1.83,3.7,3.8
1552522,158,1.9,3.6,3.75
1552522,659,1.83,3.7,3.8
1552522,90,2.14,3.3,3.6
1552522,104,2.1,3.65,3.35
1552522,173,1.82,3.63,4.25
1552522,976,1.79,3.8,4.6
1552522,16,1.8,3.75,4.45
1552522,97,1.82,3.58,4.16
1552522,81,1.85,3.7,4.6
1552522,474,1.8,3.4,4
1552522,517,1.92,3.45,3.45
1552522,18,1.92,3.45,3.45
1552522,71,2,3.6,3.5
1552522,255,1.9,3.6,3.75
1552522,281,1.75,3.75,4.5
1552522,60,2.05,3.65,3.44
1552522,115,1.78,3.8,4.4
1552522,422,1.9,3.6,3.75
1552522,432,2.1,3.55,2.8
1552522,70,1.88,3.8,4.47
1552522,370,1.95,3.3,2.95
1552522,545,1.83,3.7,3.8
1552522,177,1.81,3.84,4.64
1552522,1129,2.02,3.4,2.7
1552522,110,2.05,3.6,3.45
1552522,649,2.14,3.45,3.25
1552522,82,2,3.6,3.5
1552522,80,1.98,3.55,3.13
1552522,450,1.8,3.55,4.15
1552522,4,1.99,3.9,3.8
1552503,18,1.36,4.6,6.8
1552503,370,1.25,4.25,8
1552503,432,1.33,4.5,7.1
1552503,110,1.35,5,8.5
1552503,450,1.35,4.8,7.7
1552503,545,1.36,4.85,7.1
1552503,16,1.31,5.35,10.5
1552503,60,1.35,5,8.94
1552503,173,1.37,4.95,7.9
1552503,97,1.37,4.9,7.46
1552503,104,1.37,5,8.2
1552503,4,1.38,5.4,9
1552503,1129,1.28,4.35,6.75
1552503,90,1.39,4.2,10.8
1552503,177,1.31,5.55,10.76
1552503,115,1.4,4.75,8
1552503,81,1.33,5.25,11
1552503,158,1.35,5,9
1552503,499,1.35,4.95,7.3
1552503,70,1.4,5.3,8.5
1552503,71,1.35,5,8.5
1552503,80,1.31,4.85,7.3
1552503,474,1.34,4.4,7.8
1552503,659,1.36,4.85,7.1
1552503,422,1.35,5,9
1552503,517,1.36,4.6,6.8
1552503,281,1.33,4.75,10
1552503,649,1.38,4.35,8.7
1552503,82,1.36,4.75,8.5
1552503,88,1.36,4.75,8.5
1552503,255,1.35,5,9
1552503,976,1.4,4.8,8
1552504,177,4.39,4.07,1.79
1552504,82,4.25,3.8,1.75
1552504,70,4.47,4.1,1.81
1552504,71,3.9,3.8,1.85
1552504,517,3.95,3.6,1.76
1552504,16,4.35,4.05,1.76
1552504,18,3.95,3.6,1.76
1552504,80,3.57,3.67,1.81
1552504,115,4.6,3.8,1.75
1552504,450,4.15,3.8,1.73
1552504,255,4.1,3.75,1.85
1552504,60,4.16,3.9,1.8
1552504,422,4.1,3.75,1.85
1552504,173,4.25,3.91,1.76
1552504,281,4.75,3.6,1.72
1552504,90,3.8,3.6,1.89
1552504,545,3.95,3.8,1.77
1552504,88,4.25,3.75,1.75
1552504,4,4.15,3.9,1.89
1552504,499,3.95,3.8,1.77
1552504,649,3.9,3.65,1.76
1552504,1129,3.55,3.45,1.7
1552504,659,3.95,3.8,1.77
