Id,Year,Round,League,Date,Home,Visiters,FinalScore,HalfScore,Wins,Draws,Losses
1551741,2018,1,36,2018-08-11 03:00,27,59,2-1,1-0,1,0,0
1551744,2018,1,36,2018-08-11 19:30,28,33,1-2,1-2,0,0,1
1551738,2018,1,36,2018-08-11 22:00,29,35,0-2,0-1,0,0,1
1551742,2018,1,36,2018-08-11 22:00,344,24,0-3,0-2,0,0,1
1551746,2018,1,36,2018-08-11 22:00,53,60,2-0,1-0,1,0,0
1551739,2018,1,36,2018-08-11 22:00,348,64,2-0,1-0,1,0,0
1551747,2018,1,36,2018-08-12 00:30,52,31,2-2,1-1,0,1,0
1551745,2018,1,36,2018-08-12 20:30,30,46,0-0,0-0,0,1,0
1551743,2018,1,36,2018-08-12 20:30,25,62,4-0,2-0,1,0,0
1551740,2018,1,36,2018-08-12 23:00,19,26,0-2,0-1,0,0,1
1552155,2018,2,36,2018-08-18 19:30,64,28,0-0,0-0,0,1,0
1552161,2018,2,36,2018-08-18 22:00,33,29,3-1,1-0,1,0,0
1552159,2018,2,36,2018-08-18 22:00,59,52,2-0,2-0,1,0,0
1552158,2018,2,36,2018-08-18 22:00,31,30,2-1,2-0,1,0,0
1552162,2018,2,36,2018-08-18 22:00,62,348,1-2,1-0,0,0,1
1552156,2018,2,36,2018-08-19 00:30,24,19,3-2,2-2,1,0,0
1552154,2018,2,36,2018-08-19 20:30,46,53,1-3,1-1,0,0,1
1552160,2018,2,36,2018-08-19 20:30,26,344,6-1,3-1,1,0,0
1552153,2018,2,36,2018-08-19 23:00,60,27,3-2,3-1,1,0,0
1552157,2018,2,36,2018-08-21 03:00,35,25,0-2,0-1,0,0,1
1552172,2018,3,36,2018-08-25 19:30,52,26,1-1,0-0,0,1,0
1552170,2018,3,36,2018-08-25 22:00,30,59,1-2,0-0,0,0,1
1552164,2018,3,36,2018-08-25 22:00,348,31,2-2,0-0,0,1,0
1552166,2018,3,36,2018-08-25 22:00,344,64,0-0,0-0,0,1,0
1552163,2018,3,36,2018-08-25 22:00,19,62,3-1,1-1,1,0,0
