字段名,类型(E:枚举  N:数值),"空值处理方式(均值(Mean),中位数(Median),众数(Mode),emtpy(数值型填充0，枚举型填充none))",特征处理方式（LB:LabelEncoder OH:OneHotEncoder）,有效属性(1:是 0:否 9:待定),权重,中文说明,英文说明
Id,,,,,,,
SalePrice,,,,,,售价,
MSSubClass,E,,lb,0,,参与销售住宅的类型:有年代新旧等信息,The building class
MSZoning,E,mode,oh,0,,"房屋类型:农用,商用等",The general zoning classification
LotFrontage,N,mean,,0,,距离街道的距离,Linear feet of street connected to property
LotArea,N,,,0,,房屋的面积,Lot size in square feet
Street,E,,lb,0,,通向房屋的Street是用什么铺的,Type of road access
Alley,E,empty,lb,0,,通向房屋的Alley是用什么铺的,Type of alley access
LotShape,E,,lb,0,,"房屋的户型,规整程度",General shape of property
LandContour,E,,lb,0,,房屋的平坦程度,Flatness of the property
Utilities,E,empty,lb,0,,"设施,通不通水电气",Type of utilities available
LotConfig,E,,lb,0,,"死路,处于三岔口等",Lot configuration
LandSlope,E,,lb,0,,坡度,Slope of property
Neighborhood,E,,lb,0,,邻居,Physical locations within Ames city limits
Condition1,E,,lb,0,,0,Proximity to main road or railroad
Condition2,E,,lb,0,,0,Proximity to main road or railroad (if a second is present)
BldgType,E,,lb,0,,"住宅类型,住的家庭数,是否别墅等",Type of dwelling
HouseStyle,E,,lb,0,,"住宅类型,隔断等",Style of dwelling
OverallQual,E,,lb,1,,房屋的质量,Overall material and finish quality
OverallCond,N,,,0,,房屋位置的质量,Overall condition rating
YearBuilt,N,,,1,,建造的时间,Original construction date
YearRemodAdd,N,,,1,,改造的时间,Remodel date
RoofStyle,E,,lb,0,,屋顶的类型,Type of roof
RoofMatl,E,,lb,0,,屋顶的材料,Roof material
Exterior1st,E,empty,lb,0,,外观覆盖的材质,Exterior covering on house
Exterior2nd,E,empty,lb,0,,"如果超过一种,则有第二种材质",Exterior covering on house (if more than one material)
MasVnrType,E,empty,lb,0,,表层砌体类型,Masonry veneer type
MasVnrArea,N,empty,,0,,表层砌体面积,Masonry veneer area in square feet
ExterQual,E,,lb,0,,外观材料质量,Exterior material quality
ExterCond,E,,lb,0,,外观材料情况,Present condition of the material on the exterior
